area_id,survey_id,iso3,survyear,period,tips,births,pys,asfr,survtype,age_group
BEN_1_7ra,BEN2014MICS,BEN,2014,2000,14,20.7744037063617,57.6682976393263,0.360239586684016,MICS,Y030_034
BEN_1_8fr,BEN2014MICS,BEN,2014,2000,14,23.0484378170581,85.5751209545388,0.269335731693589,MICS,Y030_034
BEN_1_9dz,BEN2014MICS,BEN,2014,2000,14,14.4115236144132,45.85903794821,0.314256998384671,MICS,Y030_034
BEN_1_10oz,BEN2014MICS,BEN,2014,2000,14,0,3.14143407179533,0,MICS,Y035_039
BEN_1_11oz,BEN2014MICS,BEN,2014,2000,14,1.66022092050841,7.4895640031268496,0.221671237446569,MICS,Y035_039
BEN_1_12ct,BEN2014MICS,BEN,2014,2000,14,7.00713840214578,16.4502958467042,0.425958199624091,MICS,Y035_039
BEN_1_1gz,BEN2014MICS,BEN,2014,2000,14,3.6906962011302,6.83603559542672,0.539888382617442,MICS,Y035_039
BEN_1_2ys,BEN2014MICS,BEN,2014,2000,14,1.49540290045793,3.12698841762424,0.478224636851735,MICS,Y035_039
BEN_1_3xj,BEN2014MICS,BEN,2014,2000,14,0.515710470157925,6.96214033629867,0.0740735528511474,MICS,Y035_039
BEN_1_4qu,BEN2014MICS,BEN,2014,2000,14,3.05039160093412,4.46643774303442,0.682958495434381,MICS,Y035_039
BEN_1_5vw,BEN2014MICS,BEN,2014,2000,14,0,4.94438780151411,0,MICS,Y035_039
BEN_1_6yg,BEN2014MICS,BEN,2014,2000,14,2.58950040079298,9.38668085704113,0.275869654058872,MICS,Y035_039
BEN_1_7ra,BEN2014MICS,BEN,2014,2000,14,2.86416160087709,5.54186419586374,0.516822769315567,MICS,Y035_039
BEN_1_8fr,BEN2014MICS,BEN,2014,2000,14,0,7.16247251052669,0,MICS,Y035_039
BEN_1_9dz,BEN2014MICS,BEN,2014,2000,14,3.64264768111548,7.48378957479175,0.486738388982142,MICS,Y035_039
BEN_1_10oz,BEN2014MICS,BEN,2014,2000,13,14.783206904527,142.334888831754,0.103862145295954,MICS,Y015_019
BEN_1_11oz,BEN2014MICS,BEN,2014,2000,13,5.12932510157074,40.7923989624918,0.125742178249607,MICS,Y015_019
BEN_1_12ct,BEN2014MICS,BEN,2014,2000,13,2.79029680085447,75.8299108757213,0.0367967833356355,MICS,Y015_019
BEN_1_1gz,BEN2014MICS,BEN,2014,2000,13,4.84198610148275,60.4952946368587,0.0800390531288134,MICS,Y015_019
BEN_1_2ys,BEN2014MICS,BEN,2014,2000,13,4.26091376130481,57.3539336400634,0.0742915697473353,MICS,Y015_019
BEN_1_3xj,BEN2014MICS,BEN,2014,2000,13,5.81410629178044,72.1973374037755,0.0805307577932424,MICS,Y015_019
BEN_1_4qu,BEN2014MICS,BEN,2014,2000,13,5.73334960175571,51.1337716348253,0.1121245200276,MICS,Y015_019
BEN_1_5vw,BEN2014MICS,BEN,2014,2000,13,8.23388686252145,66.5124687320347,0.123794636095889,MICS,Y015_019
BEN_1_6yg,BEN2014MICS,BEN,2014,2000,13,0,69.3742728395777,0,MICS,Y015_019
BEN_1_7ra,BEN2014MICS,BEN,2014,2000,13,6.16168207188688,59.4583776923745,0.103630174771437,MICS,Y015_019
BEN_1_8fr,BEN2014MICS,BEN,2014,2000,13,1.75082450053615,88.4863065787637,0.0197863891965895,MICS,Y015_019
BEN_1_9dz,BEN2014MICS,BEN,2014,2000,13,0.659915400202085,37.0232448930042,0.0178243533787818,MICS,Y015_019
BEN_1_10oz,BEN2014MICS,BEN,2014,2000,13,20.8140293493738,108.210473056804,0.192347642158886,MICS,Y020_024
BEN_1_11oz,BEN2014MICS,BEN,2014,2000,13,8.55488271261975,42.2813770421144,0.202332168701569,MICS,Y020_024
BEN_1_12ct,BEN2014MICS,BEN,2014,2000,13,8.54923000261802,89.1933440198135,0.0958505379136685,MICS,Y020_024
BEN_1_1gz,BEN2014MICS,BEN,2014,2000,13,11.9534400036605,75.5789112064777,0.158158404412632,MICS,Y020_024
BEN_1_2ys,BEN2014MICS,BEN,2014,2000,13,4.16642404127588,41.3145599568183,0.100846385526812,MICS,Y020_024
BEN_1_3xj,BEN2014MICS,BEN,2014,2000,13,9.23553206282818,63.5704332028004,0.145280307173073,MICS,Y020_024
BEN_1_4qu,BEN2014MICS,BEN,2014,2000,13,8.59570618263225,50.2568726403901,0.171035437165744,MICS,Y020_024
BEN_1_5vw,BEN2014MICS,BEN,2014,2000,13,9.41822720288413,71.2768988709937,0.132135760001715,MICS,Y020_024
BEN_1_6yg,BEN2014MICS,BEN,2014,2000,13,5.14603510157586,63.1063027968249,0.0815455013763661,MICS,Y020_024
BEN_1_7ra,BEN2014MICS,BEN,2014,2000,13,15.0940763246222,57.8554581585503,0.260892866551287,MICS,Y020_024
BEN_1_8fr,BEN2014MICS,BEN,2014,2000,13,18.2730155455957,81.866115918403,0.223206088875752,MICS,Y020_024
BEN_1_9dz,BEN2014MICS,BEN,2014,2000,13,2.36237887072343,38.0878044366636,0.0620245484260412,MICS,Y020_024
BEN_1_10oz,BEN2014MICS,BEN,2014,2000,13,17.5509518853746,112.311983763893,0.156269627667435,MICS,Y025_029
BEN_1_11oz,BEN2014MICS,BEN,2014,2000,13,7.11340123217833,33.0402958792845,0.215294719459164,MICS,Y025_029
BEN_1_12ct,BEN2014MICS,BEN,2014,2000,13,0,42.9869826273305,0,MICS,Y025_029
BEN_1_1gz,BEN2014MICS,BEN,2014,2000,13,13.3062256740747,45.6823639673226,0.291277081973974,MICS,Y025_029
BEN_1_2ys,BEN2014MICS,BEN,2014,2000,13,3.92830724120296,34.9031394781883,0.112548822253019,MICS,Y025_029
