survey_id,country,survyear,period,tips,births,pys,asfr,age_group
"NAM2017PHIA",Namibia,2017,2017,0,1.5574845512517659,466.0164027149053,0.00334212388700959,Y045_049
RWA2019PHIA,Rwanda,2019,2017,0,4.6928814042008495,110.63573018029145,0.042417412499138864,Y015_019
RWA2019PHIA,Rwanda,2019,2017,0,13.644824886944495,101.49639288752127,0.1344365498985343,Y020_024
RWA2019PHIA,Rwanda,2019,2017,0,8.511695903446741,108.62586538937092,0.07835791110097443,Y025_029
RWA2019PHIA,Rwanda,2019,2017,0,4.720280770452417,86.45465395616601,0.05459834207243117,Y030_034
RWA2019PHIA,Rwanda,2019,2017,0,7.540557087828326,65.04518993373664,0.11592797400561215,Y035_039
RWA2019PHIA,Rwanda,2019,2017,0,1.3403450062648155,46.84981045165323,0.028609400835206956,Y040_044
RWA2019PHIA,Rwanda,2019,2017,0,0,28.404717562510694,0,Y045_049
RWA2019PHIA,Rwanda,2019,2018,0,106.42752498106786,2677.439254892112,0.039749744008797834,Y015_019
RWA2019PHIA,Rwanda,2019,2018,0,369.6016481229722,2340.2254092614526,0.1579342086707853,Y020_024
RWA2019PHIA,Rwanda,2019,2018,0,441.5655330943912,2194.641837014579,0.20120163830243154,Y025_029
RWA2019PHIA,Rwanda,2019,2018,0,356.1838388523111,1893.1078336046626,0.18814767575817498,Y030_034
RWA2019PHIA,Rwanda,2019,2018,0,246.29880440508452,1617.2144395088287,0.15229817294971038,Y035_039
RWA2019PHIA,Rwanda,2019,2018,0,88.01551209279839,1138.4362454215893,0.07731264042827818,Y040_044
RWA2019PHIA,Rwanda,2019,2018,0,10.022729493459336,798.273052782944,0.012555515256988871,Y045_049
SWZ2017PHIA,Eswatini,2017,2015,0,9.845387512575552,95.31504459835543,0.10329311132426859,Y015_019
SWZ2017PHIA,Eswatini,2017,2015,0,24.995195575934854,85.22126667782564,0.29329763039580053,Y020_024
SWZ2017PHIA,Eswatini,2017,2015,0,4.101120276931476,78.1914403913519,0.05244973434950389,Y025_029
SWZ2017PHIA,Eswatini,2017,2015,0,7.417197823398144,63.43584171244594,0.11692440146093167,Y030_034
SWZ2017PHIA,Eswatini,2017,2015,0,2.8182359497318723,56.6008238151212,0.049791429872774504,Y035_039
SWZ2017PHIA,Eswatini,2017,2015,0,0.9553315495387324,47.149890291505564,0.020261585841077623,Y040_044
SWZ2017PHIA,Eswatini,2017,2015,0,0,35.39656286130366,0,Y045_049
SWZ2017PHIA,Eswatini,2017,2016,0,55.008404102528246,830.9674331293282,0.06619802643212248,Y015_019
SWZ2017PHIA,Eswatini,2017,2016,0,124.88393019324738,815.3698142402635,0.15316231728496152,Y020_024
SWZ2017PHIA,Eswatini,2017,2016,0,106.31945679118941,767.1785353021489,0.13858502538697345,Y025_029
SWZ2017PHIA,Eswatini,2017,2016,0,70.06573776640087,662.3302010321497,0.10578671734614116,Y030_034
SWZ2017PHIA,Eswatini,2017,2016,0,34.11454574023223,544.0272874300252,0.0627074165735118,Y035_039
SWZ2017PHIA,Eswatini,2017,2016,0,5.711557898874444,409.4214277278102,0.013950315034980478,Y040_044
SWZ2017PHIA,Eswatini,2017,2016,0,0,306.6933569068726,0,Y045_049
SWZ2017PHIA,Eswatini,2017,2017,0,0,28.171902442031296,0,Y015_019
SWZ2017PHIA,Eswatini,2017,2017,0,2.0981449006183084,34.0004613594347,0.06170930677786522,Y020_024
SWZ2017PHIA,Eswatini,2017,2017,0,0.9727246530972059,30.063062589770258,0.03235613970441591,Y025_029
SWZ2017PHIA,Eswatini,2017,2017,0,3.229961447380923,30.923754986657617,0.10444919928949521,Y030_034
SWZ2017PHIA,Eswatini,2017,2017,0,0,25.83479562281371,0,Y035_039
SWZ2017PHIA,Eswatini,2017,2017,0,0,17.01727990160379,0,Y040_044
SWZ2017PHIA,Eswatini,2017,2017,0,0,11.013845739340134,0,Y045_049
TZA2017PHIA,Tanzania,2017,2015,0,7.274219315562261,56.975317379028795,0.12767316884205232,Y015_019
TZA2017PHIA,Tanzania,2017,2015,0,21.17154998142501,51.62169479302337,0.4101289209180774,Y020_024
TZA2017PHIA,Tanzania,2017,2015,0,5.601235097579017,44.7753948727008,0.12509627471747983,Y025_029
TZA2017PHIA,Tanzania,2017,2015,0,4.115129009864157,37.34270743124754,0.11019899982990279,Y030_034
TZA2017PHIA,Tanzania,2017,2015,0,3.307697446770467,36.215939503151525,0.09133264226053366,Y035_039
TZA2017PHIA,Tanzania,2017,2015,0,0,28.167354641560586,0,Y040_044
TZA2017PHIA,Tanzania,2017,2015,0,0,14.717644136308499,0,Y045_049
TZA2017PHIA,Tanzania,2017,2016,0,297.3130733148178,2383.254684842423,0.12475086074758966,Y015_019
TZA2017PHIA,Tanzania,2017,2016,0,429.0279732908064,1968.3102337954829,0.2179676587178607,Y020_024
TZA2017PHIA,Tanzania,2017,2016,0,383.87158804188425,1750.8290999235467,0.21925131816614582,Y025_029
TZA2017PHIA,Tanzania,2017,2016,0,271.02686628741094,1394.2824798722313,0.1943844738780962,Y030_034
TZA2017PHIA,Tanzania,2017,2016,0,151.70317562574326,1190.4869129881376,0.1274295197794038,Y035_039
TZA2017PHIA,Tanzania,2017,2016,0,37.169779186621994,923.6958970694816,0.04024027745987274,Y040_044
