"","area_id","survey_id","iso3","survyear","period","tips","births","pys","asfr","survtype","age_group"
"137","SSD_1_7","SSD2010MICS","SSD",2010,1996,13,2.76108890805957,16.678520905664,0.165547588043128,"MICS","Y030_034"
"138","SSD_1_8","SSD2010MICS","SSD",2010,1996,13,11.6744723043723,42.0441915682812,0.277671465876864,"MICS","Y030_034"
"139","SSD_1_9","SSD2010MICS","SSD",2010,1996,13,9.85107974260991,56.9566709695339,0.17295743544912,"MICS","Y030_034"
"140","SSD_1_1","SSD2010MICS","SSD",2010,1996,13,1.04014520633555,9.66988664054743,0.107565398127218,"MICS","Y035_039"
"141","SSD_1_10","SSD2010MICS","SSD",2010,1996,13,1.54007633248824,9.99339475282211,0.154109426334162,"MICS","Y035_039"
"142","SSD_1_2","SSD2010MICS","SSD",2010,1996,13,4.79881944686633,22.9622431569044,0.208987397880742,"MICS","Y035_039"
"143","SSD_1_3","SSD2010MICS","SSD",2010,1996,13,0,2.25534233856346,0,"MICS","Y035_039"
"144","SSD_1_4","SSD2010MICS","SSD",2010,1996,13,2.40385383978582,11.7423597701562,0.204716418747051,"MICS","Y035_039"
"145","SSD_1_5","SSD2010MICS","SSD",2010,1996,13,0.809105475448836,7.90851758314419,0.102308108560487,"MICS","Y035_039"
"146","SSD_1_6","SSD2010MICS","SSD",2010,1996,13,0,1.71937274449447,0,"MICS","Y035_039"
"147","SSD_1_7","SSD2010MICS","SSD",2010,1996,13,0,4.24188484270696,0,"MICS","Y035_039"
"148","SSD_1_8","SSD2010MICS","SSD",2010,1996,13,2.0314874499941,7.11997636812679,0.2853222180748,"MICS","Y035_039"
"149","SSD_1_9","SSD2010MICS","SSD",2010,1996,13,0,1.67045217506495,0,"MICS","Y035_039"
"150","SSD_1_1","SSD2010MICS","SSD",2010,1997,13,9.65775077006153,63.3405407429246,0.152473449970355,"MICS","Y015_019"
"151","SSD_1_10","SSD2010MICS","SSD",2010,1997,13,5.78310373304415,66.0446687560081,0.0875635209014211,"MICS","Y015_019"
"152","SSD_1_2","SSD2010MICS","SSD",2010,1997,13,13.8014857699004,87.6662512360982,0.157432142646673,"MICS","Y015_019"
"153","SSD_1_3","SSD2010MICS","SSD",2010,1997,13,10.5589547469405,37.8884487121281,0.27868532774108,"MICS","Y015_019"
"154","SSD_1_4","SSD2010MICS","SSD",2010,1997,13,9.99013681583133,82.0880944869492,0.12170019146223,"MICS","Y015_019"
"155","SSD_1_5","SSD2010MICS","SSD",2010,1997,13,9.10935539907026,50.3421922554902,0.180948722948727,"MICS","Y015_019"
"156","SSD_1_6","SSD2010MICS","SSD",2010,1997,13,2.36377572380028,18.7408574644906,0.126129539605061,"MICS","Y015_019"
"157","SSD_1_7","SSD2010MICS","SSD",2010,1997,13,8.77915181768346,45.640614498567,0.192353935505384,"MICS","Y015_019"
"158","SSD_1_8","SSD2010MICS","SSD",2010,1997,13,2.41074621359456,44.469494184422,0.0542112353155361,"MICS","Y015_019"
"159","SSD_1_9","SSD2010MICS","SSD",2010,1997,13,8.3947445485857,70.696551675788,0.118743338247723,"MICS","Y015_019"
"160","SSD_1_1","SSD2010MICS","SSD",2010,1997,13,7.87390427043201,33.2551918403858,0.236772180062115,"MICS","Y020_024"
"161","SSD_1_10","SSD2010MICS","SSD",2010,1997,13,7.32318006553238,32.4212442803105,0.22587597200826,"MICS","Y020_024"
"162","SSD_1_2","SSD2010MICS","SSD",2010,1997,13,15.9960648228878,60.3798736232612,0.26492378772925,"MICS","Y020_024"
"163","SSD_1_3","SSD2010MICS","SSD",2010,1997,13,10.5181261465673,27.2716169619873,0.385680326957804,"MICS","Y020_024"
"164","SSD_1_4","SSD2010MICS","SSD",2010,1997,13,24.2577347548888,52.5083233104866,0.461978848790326,"MICS","Y020_024"
"165","SSD_1_5","SSD2010MICS","SSD",2010,1997,13,4.92436457573737,25.2623194033892,0.194929234212624,"MICS","Y020_024"
"166","SSD_1_6","SSD2010MICS","SSD",2010,1997,13,3.89836854639456,10.1422746728541,0.384368267685411,"MICS","Y020_024"
"167","SSD_1_7","SSD2010MICS","SSD",2010,1997,13,5.52217781611913,24.5549137190278,0.224890947665597,"MICS","Y020_024"
"168","SSD_1_8","SSD2010MICS","SSD",2010,1997,13,7.55048112148198,29.9897628321291,0.251768617302731,"MICS","Y020_024"
"169","SSD_1_9","SSD2010MICS","SSD",2010,1997,13,10.9641483210746,47.3899481251544,0.231360209386995,"MICS","Y020_024"
"170","SSD_1_1","SSD2010MICS","SSD",2010,1997,13,9.95419468310311,29.5544361842302,0.336808816823733,"MICS","Y025_029"
"171","SSD_1_10","SSD2010MICS","SSD",2010,1997,13,16.4535391672521,41.2975298220199,0.39841460828679,"MICS","Y025_029"
"172","SSD_1_2","SSD2010MICS","SSD",2010,1997,13,15.10360596684,59.629651429675,0.253290193799851,"MICS","Y025_029"
"173","SSD_1_3","SSD2010MICS","SSD",2010,1997,13,7.60626976268689,18.924932021664,0.401917943693523,"MICS","Y025_029"
"174","SSD_1_4","SSD2010MICS","SSD",2010,1997,13,11.9415066491004,38.5700853407171,0.309605398681712,"MICS","Y025_029"
"175","SSD_1_5","SSD2010MICS","SSD",2010,1997,13,8.16078647753271,22.4583973005696,0.363373502049754,"MICS","Y025_029"
"176","SSD_1_6","SSD2010MICS","SSD",2010,1997,13,3.08981447515818,9.47879402847529,0.32597126447479,"MICS","Y025_029"
"177","SSD_1_7","SSD2010MICS","SSD",2010,1997,13,5.35688278495088,20.2890612441816,0.264028124341489,"MICS","Y025_029"
"178","SSD_1_8","SSD2010MICS","SSD",2010,1997,13,4.82149242718913,25.4116378683692,0.189735602725183,"MICS","Y025_029"
"179","SSD_1_9","SSD2010MICS","SSD",2010,1997,13,11.9055835917594,34.8844972635337,0.341285801019837,"MICS","Y025_029"
"180","SSD_1_1","SSD2010MICS","SSD",2010,1997,13,5.49716994471933,18.0014564879244,0.305373620651579,"MICS","Y030_034"
"181","SSD_1_10","SSD2010MICS","SSD",2010,1997,13,2.82868493370394,15.5106441893507,0.182370564315185,"MICS","Y030_034"
"182","SSD_1_2","SSD2010MICS","SSD",2010,1997,13,11.1972453760214,19.24811207513,0.581732137277458,"MICS","Y030_034"
"183","SSD_1_3","SSD2010MICS","SSD",2010,1997,13,3.78272058115682,8.59049809077143,0.440337747728564,"MICS","Y030_034"
"184","SSD_1_4","SSD2010MICS","SSD",2010,1997,13,2.40385383978582,12.9766877524777,0.185244022637967,"MICS","Y030_034"
"185","SSD_1_5","SSD2010MICS","SSD",2010,1997,13,2.49704814939086,10.5904091706362,0.235783916292336,"MICS","Y030_034"
"186","SSD_1_6","SSD2010MICS","SSD",2010,1997,13,0.373333790663762,3.74675465141559,0.099641910238961,"MICS","Y030_034"
"187","SSD_1_7","SSD2010MICS","SSD",2010,1997,13,2.19478795442086,6.9223648444241,0.317057537958108,"MICS","Y030_034"
"188","SSD_1_8","SSD2010MICS","SSD",2010,1997,13,5.83723615218617,17.6788055663601,0.330182722485137,"MICS","Y030_034"
"189","SSD_1_9","SSD2010MICS","SSD",2010,1997,13,4.19737227429285,22.014537949723,0.190663655257214,"MICS","Y030_034"
"190","SSD_1_1","SSD2010MICS","SSD",2010,1997,13,0,5.05164023826029,0,"MICS","Y035_039"
"191","SSD_1_10","SSD2010MICS","SSD",2010,1997,13,0,8.39832348091435,0,"MICS","Y035_039"
"192","SSD_1_2","SSD2010MICS","SSD",2010,1997,13,2.90172667922828,12.6513619557421,0.229360814225323,"MICS","Y035_039"
"193","SSD_1_3","SSD2010MICS","SSD",2010,1997,13,1.53758539268668,2.57737382038873,0.596570579138873,"MICS","Y035_039"
"194","SSD_1_4","SSD2010MICS","SSD",2010,1997,13,3.98050221636679,7.15441388135721,0.556370134909176,"MICS","Y035_039"
"195","SSD_1_5","SSD2010MICS","SSD",2010,1997,13,0.809105475448836,4.63141884290631,0.174699266659525,"MICS","Y035_039"
"196","SSD_1_6","SSD2010MICS","SSD",2010,1997,13,0,0.972873067434504,0,"MICS","Y035_039"
"197","SSD_1_7","SSD2010MICS","SSD",2010,1997,13,0,2.21825990779885,0,"MICS","Y035_039"
"198","SSD_1_8","SSD2010MICS","SSD",2010,1997,13,0,4.91630711808924,0,"MICS","Y035_039"
"199","SSD_1_9","SSD2010MICS","SSD",2010,1997,13,0,2.22004740331511,0,"MICS","Y035_039"
"200","SSD_1_1","SSD2010MICS","SSD",2010,1997,12,23.7725262785068,181.761139930519,0.130789927305662,"MICS","Y015_019"
"201","SSD_1_10","SSD2010MICS","SSD",2010,1997,12,19.282224100956,164.641527315438,0.117116406871111,"MICS","Y015_019"
